Sr. No.,molecule_chembl_id,canonical_smiles,,bioactivity_class,Groups,MW,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,standard_value,pIC50
5243,CHEMBL3798033,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN1CCNCC1,,inactive,0,427.48,2.81912,3,8,7,91.77,10000,5
5244,CHEMBL3798119,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCc1noc(C)n1,,inactive,0,411.393,3.80554,2,9,6,115.42,10000,5
5245,CHEMBL3798215,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCCN,,inactive,0,372.4,3.26272,3,7,7,102.52,10000,5
5246,CHEMBL3798257,Cc1cc(-c2n[nH]c3ccc(C(=O)NC(C)c4c(Cl)cncc4Cl)cc23)ccn1,,inactive,0,426.307,5.12612,2,4,4,83.56,1000,6
5247,CHEMBL3798349,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN1CCCC1C(F)(F)F,,inactive,0,480.462,4.94062,2,7,7,79.74,10000,5
5248,CHEMBL3798442,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN1CCN(C)CC1,,inactive,0,441.507,3.16132,2,8,7,82.98,10000,5
5249,CHEMBL379849,O=C1/C(=C/c2ccccc2F)CNC/C1=C\c1ccccc1F,,inactive,0,311.331,3.6041,1,2,2,29.1,770,6.113509275
5250,CHEMBL3798532,COCCOc1ccc2c(Nc3cc(CCc4cc(OC)cc(OC)c4)[nH]n3)ncnc2c1,,active,1,449.511,3.9241,2,8,11,103.41,100,7
5251,CHEMBL3798584,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCCN1CCS(=O)(=O)CC1,,inactive,0,490.557,3.03442,2,9,8,113.88,10000,5
5252,CHEMBL3798631,CC(NC(=O)c1ccc2[nH]nc(-c3ccncc3)c2c1)c1cccc(Cl)c1,,inactive,0,376.847,4.7693,2,3,4,70.67,1000,6
5253,CHEMBL379888,COc1ccc2c(ccn2Cc2ccccc2C(=O)Nc2ccc(Cl)cc2)c1,,inactive,0,390.87,5.6039,1,3,5,43.26,10000,5
5254,CHEMBL3798883,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCCN1CCCC1C(F)(F)F,,inactive,0,494.489,5.33072,2,7,8,79.74,10000,5
5255,CHEMBL379896,COCCN1CCN(c2cc(Nc3ncc(C#N)s3)ncn2)CC1,,active,1,345.432,1.31678,1,9,6,90.2,9,8.045757491
5256,CHEMBL3798986,COc1cc2ncnc(Nc3ccc4[nH]ncc4c3)c2cc1OC,,inactive,0,321.34,3.2669,2,6,4,84.95,10000,5
5257,CHEMBL3799035,COc1cc2ncnc(Nc3ccc4cc[nH]c4c3)c2cc1OC,,inactive,0,320.352,3.8719,2,5,4,72.06,10000,5
5258,CHEMBL379905,COC[C@@H](C(N)=O)N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,,inactive,0,447.898,3.1066,2,7,9,102.6,10000,5
5259,CHEMBL379908,Cc1ccc(Nc2nnc(-c3c(NCc4ccncc4)ncn3C)o2)c(F)c1,,active,1,379.399,3.66832,2,8,6,93.69,260,6.585026652
5260,CHEMBL3799244,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCCN1CCCCC1,,inactive,0,440.519,4.78992,2,7,8,79.74,10000,5
5261,CHEMBL3799264,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN(C)C,,inactive,0,386.427,3.47552,2,7,7,79.74,10000,5
