Sr. No.,molecule_chembl_id,canonical_smiles,,bioactivity_class,Groups,MW,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,standard_value,pIC50
1500,CHEMBL2023229,Cn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5ccc(Cl)cc5)cc4)csc23)cn1,,active,1,474.977,6.2434,3,6,4,97.86,8,8.096910013
1501,CHEMBL2023230,COc1ccccc1NC(=O)Nc1ccc(-c2csc3c(-c4cnn(C)c4)cnc(N)c23)cc1,,active,1,470.558,5.5986,3,7,5,107.09,6,8.22184875
1502,CHEMBL2023231,COc1ccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(C)c5)cnc(N)c34)cc2)cc1,,active,1,470.558,5.5986,3,7,5,107.09,6,8.22184875
1503,CHEMBL2023232,Cn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5ccc(OC(F)(F)F)cc5)cc4)csc23)cn1,,active,1,524.528,6.4886,3,7,5,107.09,3,8.522878745
1504,CHEMBL2023474,CCn1cc(NC(=O)Cc2ccc(Oc3ccnc4cc(F)ccc34)cc2OC)cn1,,inactive,0,420.444,4.5724,1,6,7,78.27,4282,5.368353337
1505,CHEMBL2023475,CCn1cc(NC(=O)Cc2ccc(Oc3ccnc4ccc(F)cc34)cc2OC)cn1,,inactive,0,420.444,4.5724,1,6,7,78.27,4066,5.390832626
1506,CHEMBL2023476,COc1ccc2c(Oc3ccc(CC(=O)Nc4ncc(C)s4)c(OC)c3)ccnc2c1,,active,1,435.505,4.99042,1,7,7,82.57,20,7.698970004
1507,CHEMBL2023477,COc1cc(Oc2ccnc3cc(OC)c(OC)cc23)ccc1CC(=O)Nc1noc(C)c1C,,inactive,0,463.49,4.83894,1,8,8,104.94,1919,5.716925025
1508,CHEMBL2023478,COc1ccc2c(Oc3ccc(CC(=O)Nc4noc(C)c4C)c(OC)c3)ccnc2c1,,inactive,0,433.464,4.83034,1,7,7,95.71,1624,5.789413975
1509,CHEMBL2023479,COc1ccc2nccc(Oc3ccc(CC(=O)Nc4noc(C)c4C)c(OC)c3)c2c1,,inactive,0,433.464,4.83034,1,7,7,95.71,10000,5
1510,CHEMBL2023480,COc1cc(Oc2ccnc3cc(F)ccc23)ccc1CC(=O)Nc1noc(C)c1C,,inactive,0,421.428,4.96084,1,6,6,86.48,10000,5
1511,CHEMBL2023481,COc1cc(Oc2ccnc3ccc(F)cc23)ccc1CC(=O)Nc1noc(C)c1C,,inactive,0,421.428,4.96084,1,6,6,86.48,10000,5
1512,CHEMBL2023482,CCc1cc(NC(=O)Cc2ccc(Oc3ccnc4cc(OC)ccc34)cc2OC)no1,,active,1,433.464,4.7759,1,7,8,95.71,20,7.698970004
1513,CHEMBL2023483,COc1ccc2c(Oc3ccc(CC(=O)Nc4n[nH]c(C)c4C)c(OC)c3)ccnc2c1,,inactive,0,432.48,4.56544,2,6,7,98.36,515,6.288192771
1514,CHEMBL2023484,CCc1c[nH]nc1NC(=O)Cc1ccc(Oc2ccnc3cc(OC)ccc23)cc1OC,,inactive,0,432.48,4.511,2,6,8,98.36,1277,5.893809103
1515,CHEMBL2023485,CCc1cc(NC(=O)Cc2ccc(Oc3ccnc4cc(OC)c(OC)cc34)cc2OC)n[nH]1,,active,1,462.506,4.5196,2,7,9,107.59,3,8.522878745
1516,CHEMBL2023486,CCc1cc(NC(=O)Cc2ccc(Oc3ccnc4cc(OC)ccc34)cc2OC)n[nH]1,,active,1,432.48,4.511,2,6,8,98.36,4,8.397940009
1517,CHEMBL2023487,COc1cc(Oc2ncnc3cc(OC)c(OC)cc23)ccc1CC(=O)Nc1cn(C)nc1C,,inactive,0,463.494,3.67102,1,9,8,109.62,10000,5
1518,CHEMBL2023488,COc1cc(Oc2ccnc3cc(OC)c(OC)cc23)ccc1CC(=O)Nc1cn(C)nc1C,,inactive,0,462.506,4.27602,1,8,8,96.73,3954,5.402963335
1519,CHEMBL2023489,COc1ccc2c(Oc3ccc(CC(=O)Nc4cn(C)nc4C)c(OC)c3)ccnc2c1,,inactive,0,432.48,4.26742,1,7,7,87.5,10990,4.959002308
1520,CHEMBL2023490,COc1cc2nccc(Oc3ccc(CC(=O)Nc4cn(C)nc4C)cc3)c2cc1OC,,active,1,432.48,4.26742,1,7,7,87.5,183,6.73754891
1521,CHEMBL2023491,COc1ccc2c(Oc3ccc(CC(=O)Nc4cnn(C)c4C)c(OC)c3)ccnc2c1,,inactive,0,432.48,4.26742,1,7,7,87.5,10000,5
1522,CHEMBL2023492,COc1ccc2c(Oc3ccc(CC(=O)Nc4cnn(C)c4)c(OC)c3)ccnc2c1,,inactive,0,418.453,3.959,1,7,7,87.5,2481,5.605373236
1523,CHEMBL2023493,COc1ccc2c(Oc3ccc(CC(=O)Nc4cc(C)nn4C)c(OC)c3)ccnc2c1,,inactive,0,432.48,4.26742,1,7,7,87.5,9740,5.011441043
1524,CHEMBL2023494,COc1ccc2c(Oc3ccc(CC(=O)Nc4cc(C)cc(CN(C)C)c4)c(OC)c3)ccnc2c1,,active,1,485.584,5.59552,1,6,9,72.92,23,7.638272164
1525,CHEMBL2023495,CCn1cc(NC(=O)Cc2ncc(Oc3ccnc4cc(OC)ccc34)cc2OC)cn1,,inactive,0,433.468,3.8369,1,8,8,100.39,4718,5.326242063
1526,CHEMBL2023496,COc1ccc2c(Oc3cnc(CC(=O)Nc4cn(C)nc4C)c(OC)c3)ccnc2c1,,inactive,0,433.468,3.66242,1,8,7,100.39,10000,5
1527,CHEMBL202378,COc1cc2c3c(c4c5ccccc5n(C)c4c2c(OC)c1OC)C(=O)NC3=O,,inactive,0,390.395,3.3941,1,6,3,78.79,640,6.193820026
1528,CHEMBL2023800,CCn1cc(NC(=O)Cc2ccc(Oc3ccnc4cc(OC)c(OC)cc34)cn2)cn1,,active,1,433.468,3.8369,1,8,8,100.39,245,6.610833916
1529,CHEMBL2023801,CCc1[nH]nc(NC(=O)Cc2ncc(Oc3ccnc4cc(OC)c(OC)cc34)cc2OC)c1C,,inactive,0,477.521,4.22302,2,8,9,120.48,8690,5.060980224
1530,CHEMBL2023802,CCOc1cc2nccc(Oc3cnc(CC(=O)Nc4n[nH]c(CC)c4C)c(OC)c3)c2cc1OC,,inactive,0,491.548,4.61312,2,8,10,120.48,4819,5.317043074
1531,CHEMBL202383,CC(C)(C)c1ccc(NC(=O)c2scnc2CCc2noc3ccccc23)cc1,,inactive,0,405.523,5.6193,1,5,5,68.02,10000,5
1532,CHEMBL202384,CC(C)(C)c1ccc(NC(=O)c2scnc2CCc2ccncc2)cc1,,active,1,365.502,4.8731,1,4,5,54.88,110,6.958607315
1533,CHEMBL202389,CCNc1cccc(OC2=CC(=O)C(Nc3ncnc4cc(OCCOC)c(OC)cc34)=CC2=O)c1,,active,1,490.516,3.5059,2,10,11,120.9,2.6,8.585026652
1534,CHEMBL202408,O=C(Nc1ccc(N2CCOCC2)cc1)c1scnc1CCc1ccncc1,,inactive,0,394.5,3.4122,1,6,6,67.35,710,6.148741651
1535,CHEMBL202466,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)c1scnc1CCc1ccncc1,,active,1,411.836,5.2478,1,4,5,54.88,270,6.568636236
1536,CHEMBL202643,Cc1cccc(NC(=O)c2ccccc2Cn2ccc3ncnc-3c2)c1,,inactive,0,342.402,3.99192,1,4,4,59.81,350,6.455931956
1537,CHEMBL202682,O=C(Nc1ccc(Cl)cc1)c1ccccc1Cn1cc(-c2ccncc2)cn1,,inactive,0,388.858,4.8991,1,4,5,59.81,4280,5.368556231
1538,CHEMBL202714,O=C(Nc1ccc(Cl)c(Cl)c1)c1scnc1CCc1cnoc1,,inactive,0,368.245,4.4754,1,5,5,68.02,1250,5.903089987
1539,CHEMBL202748,N#Cc1cnc(Nc2ccncn2)s1,,inactive,0,203.23,1.54838,1,6,2,74.49,990,6.004364805
1540,CHEMBL202805,Cc1cccc(NC(=O)c2ccccc2Cn2ccc3cnccc32)c1,,inactive,0,341.414,4.64532,1,3,4,46.92,470,6.327902142
1541,CHEMBL202892,Cn1cnc(NCc2ccncc2)c1-c1nnc(NCc2ccc3c(c2)OCO3)o1,,active,1,405.418,2.818,2,10,7,112.15,140,6.853871964
1542,CHEMBL202904,Cn1cnc(NCc2ccccn2)c1-c1nnc(Nc2ccc(Cl)cc2)o1,,inactive,0,381.827,3.8742,2,8,6,93.69,10000,5
1543,CHEMBL202950,CC(C)(C)c1ccc(Nc2nnc(-c3cccc4ncccc34)c3ccccc23)cc1,,inactive,0,404.517,6.8861,1,4,3,50.7,2000,5.698970004
1544,CHEMBL202970,COc1cc2c(cc1OC)Oc1ncnc(Nc3ccc(F)c(Cl)c3)c1NC2,,inactive,0,402.813,4.7477,2,7,4,77.53,10000,5
1545,CHEMBL202998,Cc1cccc(Nc2nnc(-c3cccc4cnccc34)c3ccccc23)c1,,active,1,362.436,5.89702,1,4,3,50.7,270,6.568636236
1546,CHEMBL2029988,COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC,,active,1,517.464,5.9112,2,8,7,120.63,43,7.366531544
1547,CHEMBL203000,N#Cc1cnc(Nc2ccnc(N)n2)s1,,inactive,0,218.245,1.13058,2,7,2,100.51,557,6.254144805
1548,CHEMBL203003,O=C(Nc1ccc(Cl)cc1)c1ccccc1Cn1ccc2cnccc21,,active,1,361.832,4.9903,1,3,4,46.92,92,7.036212173
1549,CHEMBL2030386,O=c1[nH]c(CN2CC[C@@H](O)C2)nc2c1oc1ccc(Br)cc12,,inactive,0,364.199,1.9984,2,5,2,82.36,3600,5.443697499
1550,CHEMBL203056,Cn1cnc(NCc2ccncc2)c1-c1nnc(Nc2ccc(Cl)cc2)o1,,active,1,381.827,3.8742,2,8,6,93.69,250,6.602059991
1551,CHEMBL203062,c1cncc(CNc2ncccc2-c2nnc(Nc3ccc4c(c3)OCCO4)o2)c1,,inactive,0,402.414,3.6535,2,9,6,107.22,10000,5
1552,CHEMBL203063,O=C(Nc1ccc(Br)cc1)c1ccccc1Cn1ccc2cnccc21,,inactive,0,406.283,5.0994,1,3,4,46.92,440,6.356547324
1553,CHEMBL203095,O=C(Nc1ccc(Cl)cc1)c1scnc1CCc1cnoc1,,inactive,0,333.8,3.822,1,5,5,68.02,1850,5.732828272
1554,CHEMBL203119,CC(C)c1ccc(Nc2nnc(-c3c(NCc4ccncc4)ncn3C)o2)cc1,,inactive,0,389.463,4.3442,2,8,7,93.69,440,6.356547324
1555,CHEMBL203149,O=C(Nc1ccc(Cl)cc1)c1scnc1CCc1ccnc2ccccc12,,inactive,0,393.899,5.3822,1,4,5,54.88,3380,5.4710833
1556,CHEMBL203167,O=C(Nc1ccc2c(c1)OCO2)c1ccccc1Cn1ccc2ncnc-2c1,,active,1,372.384,3.4122,1,6,4,78.27,230,6.638272164
1557,CHEMBL2031893,COc1cc2nccc(Oc3ccc(NC(=O)c4c(C)n(C)n(-c5ccccc5)c4=O)cc3F)c2cc1OC,,active,1,528.54,5.23352,1,8,7,96.61,10,8
1558,CHEMBL203243,CC(C)c1ccc(NC(=O)c2ccccc2Cn2ccc3cnccc32)cc1,,active,1,369.468,5.4603,1,3,5,46.92,87,7.060480747
1559,CHEMBL203346,CC(C)c1ccc(Nc2nnc(-c3cccc4cnccc34)c3ccccc23)cc1,,active,1,390.49,6.712,1,4,4,50.7,17,7.769551079
1560,CHEMBL203394,Cn1cnc(NCc2ccc(F)c(F)c2)c1-c1nnc(Nc2ccc(Cl)cc2)o1,,inactive,0,416.819,4.7574,2,7,6,80.8,1860,5.730487056
1561,CHEMBL203404,CC(=O)N1CCN(c2nccc(Nc3ncc(C#N)s3)n2)CC1,,active,1,329.389,1.21688,1,8,3,98.04,153,6.815308569
1562,CHEMBL203429,O=C(Nc1ccc(Cc2ccccc2)cc1)c1ccccc1Cn1ccc2ncnc-2c1,,inactive,0,418.5,5.2743,1,4,6,59.81,2120,5.673664139
1563,CHEMBL203438,c1cc(-c2nnc(Nc3ccc(N4CCOCC4)cc3)c3ccccc23)c2ccncc2c1,,inactive,0,433.515,5.4252,1,6,4,63.17,390,6.408935393
1564,CHEMBL203585,CC(=O)N1CCN(c2cc(Nc3ncc(C#N)s3)ncn2)CC1,,active,1,329.389,1.21688,1,8,3,98.04,13,7.886056648
1565,CHEMBL2036343,O=C1/C(=C/c2ccccn2)CSC/C1=C\c1ccccn1,,inactive,0,294.379,3.2595,0,4,2,42.85,6500,5.187086643
1566,CHEMBL203642,c1cnc(NCc2ccc3c(c2)OCO3)c(-c2nnc(Nc3ccc4c(c3)OCCO4)o2)c1,,inactive,0,445.435,3.9872,2,10,6,112.79,2600,5.585026652
1567,CHEMBL2036725,Cn1c(-c2ccnc(Nc3ccccc3)n2)nc2ccccc21,,inactive,0,301.353,3.7739,1,5,3,55.63,13400,4.872895202
1568,CHEMBL2036726,Cc1ccc(Nc2nccc(-c3nc4ccccc4n3C)n2)cc1,,inactive,0,315.38,4.08232,1,5,3,55.63,25000,4.602059991
1569,CHEMBL2036727,Cn1c(-c2ccnc(Nc3ccc(Cl)cc3)n2)nc2ccccc21,,inactive,0,335.798,4.4273,1,5,3,55.63,38000,4.420216403
1570,CHEMBL2036728,Cn1c(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)nc2ccccc21,,inactive,0,386.459,3.6105,1,7,4,68.1,69000,4.161150909
1571,CHEMBL2036865,Cn1c(-c2ccnc(Nc3ccc(O)c(Cl)c3)n2)nc2ccccc21,,inactive,0,351.797,4.1329,2,6,3,75.86,7500,5.124938737
1572,CHEMBL2036866,COc1ccc(Nc2nccc(-c3nc4ccccc4n3C)n2)cc1O,,inactive,0,347.378,3.4881,2,7,4,85.09,7200,5.142667504
1573,CHEMBL2036867,CCOc1ccc(Nc2nccc(-c3nc4ccccc4n3C)n2)cc1,,inactive,0,345.406,4.1726,1,6,5,64.86,100000,4
1574,CHEMBL2036868,COc1ccc(Nc2nccc(-c3nc4ccccc4n3C)n2)cc1,,inactive,0,331.379,3.7825,1,6,4,64.86,44000,4.356547324
1575,CHEMBL2036869,Cn1c(-c2ccnc(Nc3ccc(O)cc3)n2)nc2ccccc21,,inactive,0,317.352,3.4795,2,6,3,75.86,9200,5.036212173
1576,CHEMBL2036870,Cn1c(-c2ccnc(Nc3cccc(O)c3)n2)nc2ccccc21,,inactive,0,317.352,3.4795,2,6,3,75.86,3200,5.494850022
1577,CHEMBL2036871,Cn1c(=O)c2ccc(-c3nc4ccccc4n3C)nc2n(C)c1=O,,inactive,0,321.34,1.1859,0,7,1,74.71,85000,4.070581074
1578,CHEMBL203698,Cc1ccccc1NC(=O)c1scnc1CCc1ccncc1,,inactive,0,323.421,3.88402,1,4,5,54.88,10000,5
1579,CHEMBL203731,Cn1cnc(NCc2ccncc2)c1-c1nnc(Nc2ccc(C(C)(C)C)cc2)o1,,inactive,0,403.49,4.5183,2,8,6,93.69,380,6.420216403
1580,CHEMBL203789,Cc1cccc(Nc2nnc(-c3c(NCc4ccncc4)ncn3C)o2)c1,,inactive,0,361.409,3.52922,2,8,6,93.69,710,6.148741651
1581,CHEMBL203796,COc1cccc(Nc2nnc(-c3c(NCc4ccncc4)ncn3C)o2)c1,,active,1,377.408,3.2294,2,9,7,102.92,130,6.886056648
1582,CHEMBL203907,N#Cc1cnc(Nc2cc(N3CCCNCC3)ncn2)s1,,active,1,301.379,1.34808,2,8,3,89.76,27,7.568636236
1583,CHEMBL203965,CC(C)(C)c1ccc(NC(=O)c2ccccc2Cn2ccc3cnccc32)cc1,,active,1,383.495,5.6344,1,3,4,46.92,52,7.283996656
1584,CHEMBL204053,Clc1ccc(Nc2nnc(-c3cn[nH]c3)c3ccccc23)cc1,,inactive,0,321.771,4.4169,2,4,3,66.49,10000,5
1585,CHEMBL204099,CC(C)c1ccc(NC(=O)c2ccccc2Cn2ccc3ncnc-3c2)cc1,,active,1,370.456,4.8069,1,4,5,59.81,110,6.958607315
1586,CHEMBL204163,N#Cc1cnc(Nc2cc(N3CCCC(N)CC3)ncn2)s1,,active,1,315.406,1.86598,2,8,3,103.75,9,8.045757491
1587,CHEMBL204220,Cc1ccccc1Nc1nnc(-c2cccc3cnccc23)c2ccccc12,,inactive,0,362.436,5.89702,1,4,3,50.7,10000,5
1588,CHEMBL204312,COc1ccccc1Nc1nnc(-c2c(NCc3ccncc3)ncn2C)o1,,inactive,0,377.408,3.2294,2,9,7,102.92,10000,5
1589,CHEMBL204334,Cn1cc(/C=C2\C(=O)NN=C2c2nccs2)c2ccccc21,,active,1,308.366,2.5523,1,5,2,59.28,46,7.337242168
1590,CHEMBL204420,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCN(C)CC1C(N)=O,,inactive,0,458.925,2.7758,2,7,6,96.61,10000,5
1591,CHEMBL204425,Cc1cccc(Nc2nnc(-c3cccnc3CCc3ccncc3)o2)c1,,inactive,0,357.417,4.36382,1,6,6,76.73,770,6.113509275
1592,CHEMBL204426,Nc1c(-c2nc3cc(N4CCOCC4)ccc3[nH]2)c(=O)[nH]c2ccccc12,,active,1,361.405,2.4902,3,5,2,100.03,57,7.244125144
1593,CHEMBL204427,CN1CCN(c2ccc3[nH]c(-c4c(N)c5ccccc5[nH]c4=O)nc3c2)CC1,,active,1,374.448,2.4054,3,5,2,94.04,42,7.37675071
1594,CHEMBL204446,N#Cc1cnc(Nc2cc(N3CCN(CCN4CCOCC4)CC3)ncn2)s1,,active,1,400.512,1.00258,1,10,6,93.44,12,7.920818754
1595,CHEMBL204548,O=C(Nc1ccc(Cl)c(Cl)c1)c1ccccc1Cn1ccc2cnccc21,,active,1,396.277,5.6437,1,3,4,46.92,66,7.180456064
1596,CHEMBL204621,Clc1ccc(Nc2nnc(-c3cccnc3CCc3ccncc3)o2)cc1Cl,,inactive,0,412.28,5.3622,1,6,6,76.73,790,6.102372909
1597,CHEMBL204678,Cc1cc(C)c(/C=C2\C(=O)NN=C2c2nccs2)[nH]1,,active,1,272.333,2.00554,2,4,2,70.14,63,7.200659451
1598,CHEMBL2046837,Cc1cccc(NC(=O)Nc2ccc(-c3cccc4c3C(=O)NC4)cc2)c1,,inactive,0,357.413,4.54942,3,2,3,70.23,1000000,3
1599,CHEMBL2046838,Cc1cccc(NC(=O)Nc2ccc(-c3cccc4c(N)n[nH]c34)cc2)c1,,inactive,0,357.417,4.76452,4,3,3,95.83,1000000,3
1600,CHEMBL2046839,O=C(Nc1ccc(-c2cccc3c(=O)[nH][nH]c23)cc1)Nc1cccc(C(F)(F)F)c1,,active,1,412.371,5.186,4,2,3,89.78,40,7.397940009
1601,CHEMBL2046840,O=C(Nc1ccc(-c2cccc3[nH][nH]c(=O)c23)cc1)Nc1cccc(C(F)(F)F)c1,,active,1,412.371,5.186,4,2,3,89.78,10,8
1602,CHEMBL2046883,Cc1ccc(NC(=O)Nc2nnc(Sc3ncnc4cc(OCCCN5CCOCC5)ccc34)s2)cc1,,inactive,0,537.671,4.68602,2,10,9,114.39,10000,5
1603,CHEMBL204700,N#Cc1cnc(Nc2cc(N3CCN(CCCN4CCOCC4)CC3)ncn2)s1,,active,1,414.539,1.39268,1,10,7,93.44,10,8
1604,CHEMBL204710,c1cnc(NCc2ccncc2)c(-c2nnc(Nc3ccc4c(c3)OCO4)o2)c1,,inactive,0,388.387,3.611,2,9,6,107.22,1890,5.723538196
1605,CHEMBL204718,Cn1cnc(NCc2ccc3ccccc3n2)c1-c1nnc(Nc2ccc(Cl)cc2)o1,,inactive,0,431.887,5.0274,2,8,6,93.69,10000,5
1606,CHEMBL2047241,Nc1nc2c(c(Nc3ccc(F)cc3)n1)-c1ccccc1C2,,inactive,0,292.317,3.5127,2,4,2,63.83,89300,4.049148541
1607,CHEMBL2047242,Nc1nc2c(c(Nc3cccc(Cl)c3)n1)-c1ccccc1C2,,inactive,0,308.772,4.027,2,4,2,63.83,133900,3.873219423
1608,CHEMBL2047243,Nc1nc2c(c(Nc3ccccc3)n1)-c1ccccc1C2,,inactive,0,274.327,3.3736,2,4,2,63.83,171200,3.76649624
1609,CHEMBL2047244,CC(C)c1ccccc1Nc1nc(N)nc2c1-c1ccccc1C2,,inactive,0,316.408,4.497,2,4,3,63.83,200000,3.698970004
1610,CHEMBL2047245,CC(C)c1ccc(Nc2nc(N)nc3c2-c2ccccc2C3)cc1,,inactive,0,316.408,4.497,2,4,3,63.83,11000,4.958607315
1611,CHEMBL2047246,Nc1nc2c(c(Nc3cccc(F)c3)n1)-c1ccccc1C2,,inactive,0,292.317,3.5127,2,4,2,63.83,55700,4.254144805
1612,CHEMBL2047247,Nc1nc2c(c(Nc3ccc(Cl)cc3)n1)-c1ccccc1C2,,inactive,0,308.772,4.027,2,4,2,63.83,200000,3.698970004
1613,CHEMBL2047248,Nc1nc2c(c(Nc3cccc(Br)c3)n1)-c1ccccc1C2,,inactive,0,353.223,4.1361,2,4,2,63.83,200000,3.698970004
1614,CHEMBL2047249,Nc1nc2c(c(Nc3ccc(Br)cc3)n1)-c1ccccc1C2,,inactive,0,353.223,4.1361,2,4,2,63.83,30100,4.521433504
1615,CHEMBL2047250,Nc1nc2c(c(Nc3ccc(C(F)(F)F)cc3)n1)-c1ccccc1C2,,inactive,0,342.324,4.3924,2,4,2,63.83,200000,3.698970004
1616,CHEMBL2047251,COc1cccc(Nc2nc(N)nc3c2-c2ccccc2C3)c1,,inactive,0,304.353,3.3822,2,5,3,73.06,43000,4.366531544
1617,CHEMBL2047252,Nc1nc2c(c(Nc3ccc(F)c(Cl)c3)n1)-c1ccccc1C2,,inactive,0,326.762,4.1661,2,4,2,63.83,72900,4.137272472
1618,CHEMBL2047253,Nc1nc2c(c(Nc3ccc(Cl)cc3F)n1)-c1ccccc1C2,,inactive,0,326.762,4.1661,2,4,2,63.83,197100,3.705313376
1619,CHEMBL204726,Cn1cc(/C=C2\C(=O)NN=C2c2cnccn2)c2cc(Cl)ccc21,,active,1,337.77,2.5392,1,5,2,72.17,10,8
1620,CHEMBL204754,c1cnc(NCc2ccncc2)c(-c2nnc(Nc3ccc4c(c3)OCCO4)o2)c1,,active,1,402.414,3.6535,2,9,6,107.22,170,6.769551079
1621,CHEMBL204846,CC(C)(C)c1ccc(Nc2nnc(-c3cc4ccccc4nc3CCc3ccncc3)o2)cc1,,inactive,0,449.558,6.5061,1,6,6,76.73,10000,5
1622,CHEMBL204867,CN1CCN(c2cc(Nc3ncc(C#N)s3)ncn2)CC1,,active,1,301.379,1.30018,1,8,3,80.97,10,8
1623,CHEMBL204874,Cn1cnc(NCc2ccncc2)c1-c1nnc(Nc2ccc(Cl)c(Cl)c2)o1,,active,1,416.272,4.5276,2,8,6,93.69,180,6.744727495
1624,CHEMBL2048912,CC(C)(N)C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,,inactive,0,522.034,5.0838,3,9,8,119.98,10000,5
1625,CHEMBL204984,CC(C)(C)c1ccc(Nc2nnc(-c3ccncc3CCc3ccncc3)o2)cc1,,active,1,399.498,5.3529,1,6,6,76.73,190,6.721246399
1626,CHEMBL205050,COc1cccc(Nc2nnc(-c3cccnc3CCc3ccncc3)o2)c1,,active,1,373.416,4.064,1,7,7,85.96,170,6.769551079
1627,CHEMBL205089,COc1cc2ncnc(Oc3ccc(NC(=O)NC4CCCCC4)cc3)c2cc1OC,,inactive,0,422.485,4.8935,2,6,6,94.6,1000,6
1628,CHEMBL205097,Cn1cc(/C=C2\C(=O)NN=C2c2cnccn2)c2cc(F)ccc21,,active,1,321.315,2.0249,1,5,2,72.17,23,7.638272164
1629,CHEMBL205113,O=C(Nc1ccc(Cl)cc1)c1scnc1CCc1noc2ccccc12,,inactive,0,383.86,4.9752,1,5,5,68.02,10000,5
1630,CHEMBL205114,O=C(Nc1ccc(Cl)cc1)c1scnc1CCc1ccncc1,,active,1,343.839,4.229,1,4,5,54.88,130,6.886056648
1631,CHEMBL205127,Cn1cnc(NCc2ccncc2)c1-c1nnc(Nc2ccc(Cl)c(C(F)(F)F)c2)o1,,active,1,449.824,4.893,2,8,6,93.69,43,7.366531544
1632,CHEMBL205142,Cc1cc2c(F)c(Oc3ncnn4cc(OCCCN5CCCCC5)c(C)c34)ccc2[nH]1,,active,1,437.519,5.01364,1,6,7,67.68,17,7.769551079
1633,CHEMBL205166,c1ccc(CNc2ncccc2-c2nnc(Nc3ccc4c(c3)OCCO4)o2)nc1,,inactive,0,402.414,3.6535,2,9,6,107.22,10000,5
1634,CHEMBL205244,FC(F)(F)c1ccc(Nc2nnc(-c3cnccc3CCc3ccncc3)o2)cc1,,inactive,0,411.387,5.0742,1,6,6,76.73,440,6.356547324
1635,CHEMBL205283,COC(=O)c1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3)c2c1C,,active,1,336.351,3.40634,1,6,3,81.51,78,7.107905397
1636,CHEMBL205325,CC(C)(C)c1ccc(Nc2nnc(-c3cccnc3CCc3ccncc3)o2)cc1,,active,1,399.498,5.3529,1,6,6,76.73,43,7.366531544
1637,CHEMBL205401,Cc1ccccc1NC(=O)c1ccccc1Cn1ccc2cnccc21,,inactive,0,341.414,4.64532,1,3,4,46.92,10000,5
1638,CHEMBL205413,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1ccccc1Cn1ccc2ncnc-2c1,,active,1,428.826,4.8514,1,5,6,69.04,95,7.022276395
1639,CHEMBL205421,FC(F)(F)c1cccc(Nc2nnc(-c3cnccc3CCc3ccncc3)o2)c1,,inactive,0,411.387,5.0742,1,6,6,76.73,720,6.142667504
1640,CHEMBL205463,Cn1cnc(NCc2ccncc2)c1-c1nnc(Nc2ccc(Br)cc2)o1,,inactive,0,426.278,3.9833,2,8,6,93.69,730,6.13667714
1641,CHEMBL205464,Cn1cnc(NCc2ccncc2)c1-c1nnc(Nc2ccc(-c3ccccc3)cc2)o1,,inactive,0,423.48,4.8878,2,8,7,93.69,3220,5.492144128
1642,CHEMBL205502,FC(F)(Cl)Oc1ccc(Nc2nnc(-c3cccnc3CCc3ccncc3)o2)cc1,,active,1,443.841,5.2233,1,7,8,85.96,31,7.508638306
1643,CHEMBL205509,Cc1cc(C)c(/C=C2\C(=O)NN=C2c2ccccc2)[nH]1,,inactive,0,265.316,2.54904,2,2,2,57.25,2700,5.568636236
1644,CHEMBL205544,FC(F)(Cl)Oc1ccc(Nc2nnc(-c3ccncc3CCc3ccncc3)o2)cc1,,active,1,443.841,5.2233,1,7,8,85.96,220,6.657577319
1645,CHEMBL205610,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1ccccc1Cn1ccc2cnccc21,,active,1,427.838,5.5048,1,4,6,56.15,73,7.13667714
1646,CHEMBL205639,FC(F)(F)Oc1cccc(Nc2nnc(-c3ccncc3CCc3ccncc3)o2)c1,,inactive,0,427.386,4.954,1,7,7,85.96,470,6.327902142
1647,CHEMBL205647,FC(F)(F)c1cccc(Nc2nnc(-c3cccnc3CCc3cccc4ncccc34)o2)c1,,inactive,0,461.447,6.2274,1,6,6,76.73,5640,5.248720896
1648,CHEMBL205658,Cc1cc(C)c(/C=C2\C(=O)NN=C2c2ccoc2)[nH]1,,active,1,255.277,2.14204,2,3,2,70.39,157,6.804100348
1649,CHEMBL205684,FC(F)(F)c1cccc(Nc2nnc(-c3ccncc3CCCc3ccc4c(c3)OCO4)o2)c1,,inactive,0,468.435,5.798,1,7,7,82.3,10000,5
1650,CHEMBL205710,COC[C@@H](O)COc1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C,,active,1,400.41,3.14494,2,7,7,93.9,42,7.37675071
